epidemiological_week,date,order_for_place,state,city,GEOCODIGO,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-05,37,RJ,Angra dos Reis,3300100,city,56,27.47994,0,0,0,0.0,203785,False,True
19,2020-05-05,13,RJ,Aperibé,3300159,city,3,25.51237,0,0,0,0.0,11759,False,True
19,2020-05-05,33,RJ,Araruama,3300209,city,33,24.92447,0,1,0,0.0303,132400,False,True
19,2020-05-05,21,RJ,Areal,3300225,city,3,23.86255,0,0,0,0.0,12572,False,True
19,2020-05-05,22,RJ,Armação dos Búzios,3300233,city,13,38.38205,0,0,0,0.0,33870,False,True
19,2020-05-05,35,RJ,Arraial do Cabo,3300258,city,8,26.36001,0,1,0,0.125,30349,False,True
19,2020-05-05,33,RJ,Barra do Piraí,3300308,city,21,20.92175,0,3,0,0.1429,100374,False,True
19,2020-05-05,62,RJ,Barra Mansa,3300407,city,43,23.31735,0,1,0,0.0233,184412,False,True
19,2020-05-05,41,RJ,Belford Roxo,3300456,city,195,38.16749,0,16,0,0.0821,510906,False,True
19,2020-05-05,29,RJ,Bom Jardim,3300506,city,8,29.14815,0,1,0,0.125,27446,False,True
19,2020-05-05,26,RJ,Bom Jesus do Itabapoana,3300605,city,13,35.04421,0,1,0,0.0769,37096,False,True
19,2020-05-05,29,RJ,Cabo Frio,3300704,city,53,23.39698,0,4,0,0.0755,226525,False,True
19,2020-05-05,26,RJ,Cachoeiras de Macacu,3300803,city,18,30.54109,0,1,0,0.0556,58937,False,True
19,2020-05-05,43,RJ,Campos dos Goytacazes,3301009,city,70,13.7918,0,3,0,0.0429,507548,False,True
19,2020-05-05,27,RJ,Cantagalo,3301108,city,1,4.95737,0,0,0,0.0,20172,False,True
19,2020-05-05,21,RJ,Carapebus,3300936,city,6,36.80756,0,0,0,0.0,16301,False,True
19,2020-05-05,4,RJ,Carmo,3301207,city,1,5.29241,0,0,0,0.0,18895,False,True
19,2020-05-05,29,RJ,Casimiro de Abreu,3301306,city,25,56.58157,0,0,0,0.0,44184,False,True
19,2020-05-05,14,RJ,Conceição de Macabu,3301405,city,2,8.6103,0,0,0,0.0,23228,False,True
19,2020-05-05,10,RJ,Cordeiro,3301504,city,2,9.12159,0,0,0,0.0,21926,False,True
19,2020-05-05,43,RJ,Duque de Caxias,3301702,city,486,52.84929,0,84,0,0.1728,919596,False,True
19,2020-05-05,49,RJ,Guapimirim,3301850,city,13,21.48157,0,2,0,0.1538,60517,False,True
19,2020-05-05,33,RJ,Iguaba Grande,3301876,city,18,63.58177,0,4,0,0.2222,28310,False,True
19,2020-05-05,46,RJ,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,True
19,2020-05-05,40,RJ,Itaboraí,3301900,city,234,97.26009,0,10,0,0.0427,240592,False,True
19,2020-05-05,34,RJ,Itaguaí,3302007,city,50,37.58862,0,8,0,0.16,133019,False,True
19,2020-05-05,9,RJ,Italva,3302056,city,1,6.57592,0,0,0,0.0,15207,False,True
19,2020-05-05,5,RJ,Itaocara,3302106,city,4,17.21615,0,1,0,0.25,23234,False,True
19,2020-05-05,31,RJ,Itaperuna,3302205,city,3,2.9063,0,0,0,0.0,103224,False,True
19,2020-05-05,26,RJ,Itatiaia,3302254,city,3,9.43248,0,0,0,0.0,31805,False,True
19,2020-05-05,29,RJ,Japeri,3302270,city,37,35.31613,0,2,0,0.0541,104768,False,True
19,2020-05-05,36,RJ,Macaé,3302403,city,50,19.48011,0,14,0,0.28,256672,False,True
19,2020-05-05,13,RJ,Macuco,3302452,city,0,,0,0,0,0.0,5599,False,True
19,2020-05-05,34,RJ,Magé,3302502,city,120,48.9654,0,6,0,0.05,245071,False,True
19,2020-05-05,39,RJ,Mangaratiba,3302601,city,13,29.23451,0,2,0,0.1538,44468,False,True
19,2020-05-05,38,RJ,Maricá,3302700,city,90,55.82884,0,12,0,0.1333,161207,False,True
19,2020-05-05,21,RJ,Mendes,3302809,city,6,32.2338,0,0,0,0.0,18614,False,True
19,2020-05-05,34,RJ,Mesquita,3302858,city,178,101.07721,0,15,0,0.0843,176103,False,True
19,2020-05-05,48,RJ,Miguel Pereira,3302908,city,9,35.2416,0,1,0,0.1111,25538,False,True
19,2020-05-05,6,RJ,Miracema,3303005,city,1,3.67999,0,0,0,0.0,27174,False,True
19,2020-05-05,33,RJ,Nilópolis,3303203,city,93,57.23605,0,7,0,0.0753,162485,False,True
19,2020-05-05,55,RJ,Niterói,3303302,city,436,84.89361,0,27,0,0.0619,513584,False,True
19,2020-05-05,32,RJ,Nova Friburgo,3303401,city,60,31.47442,0,5,0,0.0833,190631,False,True
19,2020-05-05,39,RJ,Nova Iguaçu,3303500,city,438,53.34126,0,46,0,0.105,821128,False,True
19,2020-05-05,26,RJ,Paracambi,3303609,city,36,68.89029,0,3,0,0.0833,52257,False,True
19,2020-05-05,32,RJ,Paraíba do Sul,3303708,city,10,22.58101,0,1,0,0.1,44285,False,True
19,2020-05-05,27,RJ,Paraty,3303807,city,7,16.21684,0,1,0,0.1429,43165,False,True
19,2020-05-05,27,RJ,Paty do Alferes,3303856,city,5,18.00569,0,0,0,0.0,27769,False,True
19,2020-05-05,46,RJ,Petrópolis,3303906,city,104,33.96573,0,9,0,0.0865,306191,False,True
19,2020-05-05,18,RJ,Pinheiral,3303955,city,8,31.80156,0,0,0,0.0,25156,False,True
19,2020-05-05,24,RJ,Piraí,3304003,city,5,17.07825,0,0,0,0.0,29277,False,True
19,2020-05-05,33,RJ,Porciúncula,3304102,city,1,5.30588,0,0,0,0.0,18847,False,True
19,2020-05-05,29,RJ,Porto Real,3304110,city,3,15.24158,0,0,0,0.0,19683,False,True
19,2020-05-05,29,RJ,Quatis,3304128,city,3,20.97609,0,0,0,0.0,14302,False,True
19,2020-05-05,37,RJ,Queimados,3304144,city,70,46.56763,0,5,0,0.0714,150319,False,True
19,2020-05-05,21,RJ,Quissamã,3304151,city,5,20.24291,0,0,0,0.0,24700,False,True
19,2020-05-05,42,RJ,Resende,3304201,city,27,20.55718,0,4,0,0.1481,131341,False,True
19,2020-05-05,37,RJ,Rio Bonito,3304300,city,29,48.17196,0,3,0,0.1034,60201,False,True
19,2020-05-05,28,RJ,Rio das Flores,3304508,city,5,53.8561,0,0,0,0.0,9284,False,True
19,2020-05-05,38,RJ,Rio das Ostras,3304524,city,46,30.52949,0,7,0,0.1522,150674,False,True
19,2020-05-05,61,RJ,Rio de Janeiro,3304557,city,7283,108.39567,0,670,0,0.092,6718903,False,True
19,2020-05-05,10,RJ,Santa Maria Madalena,3304607,city,1,9.61169,0,0,0,0.0,10404,False,True
19,2020-05-05,16,RJ,Santo Antônio de Pádua,3304706,city,4,9.41642,0,1,0,0.25,42479,False,True
19,2020-05-05,24,RJ,São Fidélis,3304805,city,5,12.93025,0,0,0,0.0,38669,False,True
19,2020-05-05,26,RJ,São Francisco de Itabapoana,3304755,city,11,26.06326,0,1,0,0.0909,42205,False,True
19,2020-05-05,44,RJ,São Gonçalo,3304904,city,326,30.05054,0,25,0,0.0767,1084839,False,True
19,2020-05-05,31,RJ,São João da Barra,3305000,city,15,41.54894,0,1,0,0.0667,36102,False,True
19,2020-05-05,37,RJ,São João de Meriti,3305109,city,228,48.26357,0,21,0,0.0921,472406,False,True
19,2020-05-05,10,RJ,São José de Ubá,3305133,city,3,41.83517,0,0,0,0.0,7171,False,True
19,2020-05-05,9,RJ,São José do Vale do Rio Preto,3305158,city,2,9.17642,0,0,0,0.0,21795,False,True
19,2020-05-05,36,RJ,São Pedro da Aldeia,3305208,city,25,23.92894,0,2,0,0.08,104476,False,True
19,2020-05-05,12,RJ,São Sebastião do Alto,3305307,city,2,21.37437,0,0,0,0.0,9357,False,True
19,2020-05-05,29,RJ,Sapucaia,3305406,city,19,104.23524,0,2,0,0.1053,18228,False,True
19,2020-05-05,24,RJ,Saquarema,3305505,city,40,44.85814,0,3,0,0.075,89170,False,True
19,2020-05-05,38,RJ,Seropédica,3305554,city,12,14.57868,0,0,0,0.0,82312,False,True
19,2020-05-05,21,RJ,Silva Jardim,3305604,city,6,27.5558,0,1,0,0.1667,21774,False,True
19,2020-05-05,27,RJ,Sumidouro,3305703,city,2,12.80164,0,0,0,0.0,15623,False,True
19,2020-05-05,31,RJ,Tanguá,3305752,city,16,46.63499,0,6,0,0.375,34309,False,True
19,2020-05-05,37,RJ,Teresópolis,3305802,city,60,32.85979,0,4,0,0.0667,182594,False,True
19,2020-05-05,31,RJ,Trajano de Moraes,3305901,city,0,,0,0,0,0.0,10626,False,True
19,2020-05-05,33,RJ,Três Rios,3306008,city,22,26.89355,0,0,0,0.0,81804,False,True
19,2020-05-05,42,RJ,Valença,3306107,city,8,10.45437,0,0,0,0.0,76523,False,True
19,2020-05-05,13,RJ,Vassouras,3306206,city,7,18.97225,0,1,0,0.1429,36896,False,True
19,2020-05-05,43,RJ,Volta Redonda,3306305,city,343,125.6355,0,16,0,0.0466,273012,False,True
19,2020-05-05,62,RJ,,33,state,11721,67.88902,0,1065,0,0.0909,17264943,False,True
